section	subgroup	case	title	rc	started_ms	finished_ms	duration_ms	log_path
TESTS	unit	host-keyboard-input-f11-creates-a-terminal-without-a-prefix-key	host keyboard routing maps F11 onto terminal creation	0	1775499123470	1775499124735	1265	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-keyboard-input-f11-creates-a-terminal-without-a-prefix-key.log
BOOT TESTS	-	test-kernel-exports-bss-start	test kernel exports bss_start	0	1775499124732	1775499124749	17	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/test-kernel-exports-bss-start.log
BOOT TESTS	-	test-kernel-exports-bss-end	test kernel exports bss_end	0	1775499124762	1775499124768	6	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/test-kernel-exports-bss-end.log
BOOT TESTS	-	test-kernel-links-layout-symbols-marker	test kernel keeps Rust layout handling in core entry	0	1775499124782	1775499124806	24	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/test-kernel-links-layout-symbols-marker.log
BOOT TESTS	-	test-symbol-ordering	test layout symbols are monotonic	0	1775499124818	1775499124833	15	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/test-symbol-ordering.log
BOOT TESTS	-	rust-declares-layout-symbols	Rust declares extern "C" layout symbols	0	1775499124845	1775499124863	18	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/rust-declares-layout-symbols.log
BOOT TESTS	-	rust-references-kernel-start	Rust references kernel_start	0	1775499124874	1775499124882	8	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/rust-references-kernel-start.log
BOOT TESTS	-	rust-references-kernel-end	Rust references kernel_end	0	1775499124893	1775499124900	7	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/rust-references-kernel-end.log
BOOT TESTS	-	rust-references-bss-start	Rust references bss_start	0	1775499124912	1775499124919	7	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/rust-references-bss-start.log
BOOT TESTS	-	rust-references-bss-end	Rust references bss_end	0	1775499124931	1775499124944	13	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/rust-references-bss-end.log
TESTS	unit	host-keyboard-input-f12-destroys-the-current-terminal-without-a-prefix-key	host keyboard routing maps F12 onto terminal destruction	0	1775499123899	1775499124963	1064	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-keyboard-input-f12-destroys-the-current-terminal-without-a-prefix-key.log
